Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,ML_Selected,Significant,Validated
CYFIP2,2.387860871872887,-0.14090479347826088,1.6933204283916488,0.09152743268513648,0.22718541386405125,-4.796525424621517,FALSE,FALSE,FALSE
ZNF510,-0.10157515382014878,-0.019884735507246377,-1.693272084701794,0.09153639763764218,0.22718541386405125,-4.796602661157795,FALSE,FALSE,FALSE
TSPYL2,-4.487727841784997,-0.5170332753623188,-1.692820196188479,0.09162276439844294,0.2273548280211165,-4.797329934777504,FALSE,FALSE,FALSE
UBE2L3,0.8113769678837058,0.19620240942028985,1.6927239930094722,0.09164110750763518,0.22735541313295146,-4.797484629127582,FALSE,FALSE,FALSE
ARPC2,-1.159833332657201,-0.17453397101449278,-1.6920107392682167,0.09177719653515788,0.22763372465200088,-4.798631270147369,FALSE,FALSE,FALSE
ZNF687,0.19412366328600428,0.0302786231884058,1.6919447718825753,0.09178954666399175,0.22763372465200088,-4.798736776554356,FALSE,FALSE,FALSE
METTL22,-0.3635087887085871,-0.07001085869565218,-1.6908782569120668,0.09199360990368406,0.22809474051158318,-4.800450900053374,FALSE,FALSE,FALSE
RNF169,0.042843728194726274,0.005334833333333333,1.6903048783644612,0.0921030927967976,0.22832111217306825,-4.801371212333633,FALSE,FALSE,FALSE
PRPF4B,0.5608773816768096,0.04825792391304348,1.69007459581589,0.09214743660687122,0.22836750458919974,-4.801741469197578,FALSE,FALSE,FALSE
DNLZ,1.2091251744421903,0.16103614492753623,1.6900184922427006,0.09215818300043606,0.22836750458919974,-4.801831541398016,FALSE,FALSE,FALSE
COG7,-0.441124907369845,-0.036452181159420276,-1.6897798377221045,0.09220390753906364,0.22843572672858783,-4.8022146596607005,FALSE,FALSE,FALSE
COIL,-0.10730575321162951,-0.01509051449275362,-1.689110268333199,0.09233204531033438,0.2286716664624735,-4.8032887408382,FALSE,FALSE,FALSE
PHLPP2,-0.13522661528059512,-0.015698963768115946,-1.6890919244067892,0.0923355645878258,0.2286716664624735,-4.803318175253116,FALSE,FALSE,FALSE
ALDH9A1,-1.1091121832319129,-0.045986260869565226,-1.688807628434986,0.09239036542255497,0.2287622615353185,-4.803774825171446,FALSE,FALSE,FALSE
NQO1,-3.6395567521974375,0.19567130072463765,-1.688631339191401,0.09242420813667694,0.22880093796611112,-4.804057633523778,FALSE,FALSE,FALSE
ADRA2C,0.19106668086544973,0.04482413043478261,1.6884991335718007,0.09244934967425039,0.22881806317955605,-4.804269190982618,FALSE,FALSE,FALSE
PANX2,0.9399809793779577,0.06806601811594205,1.6883943258691405,0.09246972398783611,0.22882338478345884,-4.804437811684824,FALSE,FALSE,FALSE
PLOD2,0.348821869168357,0.0668998804347826,1.6882829627487042,0.09249111632215903,0.22883122296374953,-4.804616424228248,FALSE,FALSE,FALSE
WASF1,-2.854443485801218,-0.5721579094202899,-1.6876611726093627,0.09261063274784635,0.22901351566152978,-4.805613486098462,FALSE,FALSE,FALSE
ZP3,0.4456352079107509,-0.014035192028985507,1.6876603508983115,0.09261079077421192,0.22901351566152978,-4.805614803502582,FALSE,FALSE,FALSE
DAPK3,1.1139405865449628,0.038793126811594206,1.6875810060230114,0.0926260509132012,0.22901351566152978,-4.805742009819446,FALSE,FALSE,FALSE
IRF1,0.8155337968221781,0.09100179347826087,1.687424967521989,0.09265606720645095,0.22901351566152978,-4.805992154876863,FALSE,FALSE,FALSE
FASTKD3,-0.1431088938471944,-0.03919210869565217,-1.6873326655275276,0.09267358159039633,0.22901351566152978,-4.806139604554506,FALSE,FALSE,FALSE
FOCAD,-0.3847218154158217,-0.09346371014492755,-1.6873305517299144,0.09267423328099975,0.22901351566152978,-4.806143501682016,FALSE,FALSE,FALSE
IL32,-2.050567388438134,0.1258854746376811,-1.6872348670192492,0.09269264643513284,0.22901394502942302,-4.806296874085607,FALSE,FALSE,FALSE
SENP7,-0.11454006017579442,0.0033652463768115938,-1.6869964079266562,0.09273830235714227,0.2290816691710168,-4.806678553568946,FALSE,FALSE,FALSE
LONRF2,-0.5431295091277889,-0.05799625362318841,-1.6867090487436793,0.09279388535499844,0.22917388365801739,-4.8071395528911225,FALSE,FALSE,FALSE
USP33,-0.8405436210277223,-0.20075917028985507,-1.6863530246500367,0.09286248345078754,0.22929819905763785,-4.807709972814495,FALSE,FALSE,FALSE
EDEM3,-0.14438345165652508,-0.02680220289855072,-1.6857249330968624,0.0929833577828548,0.2295515218878342,-4.808715505547826,FALSE,FALSE,FALSE
CDC34,1.7113252931034473,0.31711865579710147,1.6854314498602991,0.09304024096822383,0.22964679881993677,-4.80918596776351,FALSE,FALSE,FALSE
USP5,-1.0572624148073029,-0.29772120652173917,-1.685197355361288,0.09308543788097377,0.22970895195308375,-4.809560767946972,FALSE,FALSE,FALSE
EMP2,0.6890505118323192,0.16911547826086956,1.6851115363128248,0.09310201150758547,0.22970895195308375,-4.809698156939739,FALSE,FALSE,FALSE
STX5,-0.30686777484787015,-0.08628591304347825,-1.6849375547296737,0.09313555599606925,0.2297465699580836,-4.809976537048017,FALSE,FALSE,FALSE
DAZAP1,0.47641070216362513,0.08187491666666669,1.6846632119548488,0.09318863193940806,0.2298323438678467,-4.8104157747590826,FALSE,FALSE,FALSE
HBQ1,-0.38711123022312444,-0.04630928623188405,-1.6840611446514333,0.09330505922154095,0.23007429764054754,-4.811379189783171,FALSE,FALSE,FALSE
SOX21,0.33484434144692365,0.06021566666666666,1.6833697289352116,0.09343890936686668,0.23035910976052976,-4.812485162432892,FALSE,FALSE,FALSE
SNX3,-2.2095533336714017,-0.13279767753623187,-1.6830187752836159,0.0935069092056764,0.23048149823056008,-4.813046369738215,FALSE,FALSE,FALSE
ATCAY,-1.7473707119675468,-0.27199397101449274,-1.6827726898741437,0.09355461385850422,0.23055382367171326,-4.813439814733157,FALSE,FALSE,FALSE
POLR3H,1.0621846504394872,0.11736535507246378,1.6825949987135798,0.09358907221261298,0.23059348326168927,-4.813723874982462,FALSE,FALSE,FALSE
FAM234B,-0.7038823975659232,-0.14140215217391303,-1.6819447173785589,0.09371526383063009,0.23085910391551723,-4.814763175971646,FALSE,FALSE,FALSE
RNF11,-1.6428417545638956,-0.1424822608695652,-1.6818382358090822,0.09373594038863212,0.23086474451150743,-4.814933320849611,FALSE,FALSE,FALSE
SCML1,-0.11536995706558499,-0.01840451811594203,-1.681643919738775,0.09377343686513287,0.23091180099600084,-4.815243292634459,FALSE,FALSE,FALSE
EGR1,-2.9006466433400946,-0.32534713405797105,-1.6810841505702296,0.09388247372695821,0.23113496865013475,-4.816137957622624,FALSE,FALSE,FALSE
C10orf88,-0.12223359533468581,-0.021489496376811596,-1.6809551910084637,0.09390730627379712,0.23114853548159892,-4.816343421778612,FALSE,FALSE,FALSE
ROBO2,-0.24886634719405004,-0.06113314855072464,-1.6808656224232426,0.09392480312417312,0.23114853548159892,-4.816486612880336,FALSE,FALSE,FALSE
RPL17.C18orf32,-1.0217349972954723,-0.17678689855072466,-1.6805635192450492,0.09398375020064484,0.23124827895733815,-4.81696934766602,FALSE,FALSE,FALSE
PEX5L,0.4525962934415148,0.06830151449275364,1.680153074121455,0.09406365464281011,0.23139953912522016,-4.817624604976885,FALSE,FALSE,FALSE
PHF14,0.5811916206896559,0.1446602463768116,1.6793323092967964,0.09422360337268333,0.23170261400057224,-4.818934449511367,FALSE,FALSE,FALSE
